ABBR	ABBREVIATION	    >
ADDR	ADDRESS	            >TO DO
ADR1	ADDRESS1	        >useless
ADR2	ADDRESS2	        >useless
ADOP	ADOPTION	        >
AFN	    AFN	                >
AGE	    AGE	                >TO DO
AGNC	AGENCY	            >
ALIA	ALIAS	            >
ANCE	ANCESTORS    	    >
ANCI	ANCES_INTEREST	    >
ANUL	ANNULMENT	        >TO DO 
ASSO	ASSOCIATES          > 	
AUTH	AUTHOR	            >
BAPL	BAPTISM-LDS	        >
BAPM	BAPTISM	            >TO DO
BARM	BAR_MITZVAH  	    >TO DO
BASM	BAS_MITZVAH	        >TO DO
BIRT	BIRTH	            >>>>>>>>>>>>>DONE
BLES	BLESSING	        >useless
BURI	BURIAL	            >>>>>>>>>>>>>DONE
CALN	CALL_NUMBER	        >
CAST	CASTE	            >
CAUS	CAUSE	            >
CENS	CENSUS      	    >
CHAN	CHANGE	            >
CHAR	CHARACTER	        >>>>>>>>>>>>>DONE
CHIL	CHILD	            >>>>>>>>>>>>>DONE
CHR	    CHRISTENING	        >TO DO
CHRA	ADULT_CHRISTENING   >	
CITY	CITY	            >TO DO
CONC	CONCATENATION	    >
CONF	CONFIRMATION	    >
CONL	CONFIRMATION_L	    >
CONT	CONTINUED	        >
COPR	COPYRIGHT	        >
CORP	CORPORATE	        >
CREM	CREMATION	        >
CTRY	COUNTRY	            >TO DO 
DATA	DATA	            >useless
DATE	DATE	            >>>>>>>>>>>>>DONE
DEAT	DEATH	            >>>>>>>>>>>>>DONE
DESC	DESCENDANTS	        >
DESI	DESCENDANT_INT	    >
DEST	DESTINATION	        >
DIV	    DIVORCE	            >>>>>>>>>>>>>DONE
DIVF	DIVORCE_FILED	    >
DSCR	PHY_DESCRIPTION	    >
EDUC	EDUCATION	        >
EMAIL	EMAIL	            >
EMIG	EMIGRATION    	    >
ENDL	ENDOWMENT	        >
ENGA	ENGAGEMENT	        >
EVEN	EVENT	            >
FACT	FACT	            >
FAM	    FAMILY	            >
FAMC	FAMILY_CHILD	    >>>>>>>>>>>>>DONE
FAMF	FAMILY_FILE	        >
FAMS	FAMILY_SPOUSE	    >>>>>>>>>>>>>DONE
FAX 	FAX	                >
FCOM	FIRST_COMMUNION	    >
FILE	FILE	            >>>>>>>>>>>>>DONE
FONE	PHONETIC	        >
FORM	FORMAT	            >
GEDC	GEDCOM	            >>>>>>>>>>>>>DONE
GIVN	GIVEN_NAME	        >
GRAD	GRADUATION	        >
HEAD	HEADER	            >
HUSB	HUSBAND	            >>>>>>>>>>>>>DONE
IDNO	IDENT_NUMBER	    >
IMMI	IMMIGRATION	        >
INDI	INDIVIDUAL	        >
LANG	LANGUAGE	        >>>>>>>>>>>>>DONE
LATI	LATITUDE	        >
LEGA	LEGATEE	            >
LONG	LONGITUDE	        >
MAP	    MAP	                >
MARB	MARRIAGE_BANN	    >
MARC	MARR_CONTRACT	    >
MARL	MARR_LICENSE	    >
MARR	MARRIAGE	        >>>>>>>>>>>>>DONE   
MARS	MARR_SETTLEMENT	    >
MEDI	MEDIA	            >
NAME	NAME	            >
NATI	NATIONALITY	        >
NATU	NATURALIZATION	    >
NCHI	CHILDREN_COUNT	    >
NICK	NICKNAME	        >
NMR	    MARRIAGE_COUNT	    >
NOTE	NOTE	            >
NPFX	NAME_PREFIX	        >
NSFX	NAME_SUFFIX	        >
OBJE	OBJECT	            >
OCCU	OCCUPATION	        >
ORDI	ORDINANCE	        >
ORDN	ORDINATION	        >
PAGE	PAGE	            > 
PEDI	PEDIGREE	        >
PHON	PHONE	            >>>>>>>>>>>>>DONE
PLAC	PLACE	            >
POST	POSTAL_CODE	        >
PROB	PROBATE	            >
PROP	PROPERTY	        >
PUBL	PUBLICATION	        >
QUAY	QUALITY_OF_DATA	    >
REFN	REFERENCE	        >
RELA	RELATIONSHIP	    >
RELI	RELIGION	        >
REPO	REPOSITORY	        >
RESI	RESIDENCE	        >
RESN	RESTRICTION	        >
RETI	RETIREMENT	        >
RFN	    REC_FILE_NUMBER	    >
RIN	    REC_ID_NUMBER	    >
ROLE	ROLE	            >
ROMN	ROMANIZED	        >
SEX	    SEX	                >TO DO
SLGC	SEALING_CHILD	    >
SLGS	SEALING_SPOUSE	    >
SOUR	SOURCE	            >>>>>>>>>>>>>DONE
SPFX	SURN_PREFIX	        >
SSN	    SOC_SEC_NUMBER	    >
STAE	STATE	            >
STAT	STATUS	            >
SUBM	SUBMITTER	        >
SUBN	SUBMISSION	        >
SURN	SURNAME	            >TO DO
TEMP	TEMPLE	            >
TEXT	TEXT	            >
TIME	TIME	            >
TITL	TITLE	            >>>>>>>>>>>>>DONE
TRLR	TRAILER	            >
TYPE	TYPE	            >
VERS	VERSION	            >
WIFE	WIFE	            >>>>>>>>>>>>>DONE
WWW	    WEB	                >
WILL	WILL                >
